 13 3594.147586 6.470E-25 7.132E+00.08560.486  708.01630.71-.004640          1 0 0          0 0 0  6  3  3        7  2  6      663734545933162754    78.0   90.0
 22 3594.149350 1.570E-29 2.319E-02.05850.065 2815.69820.67-.006150       0 3 3 11       0 1 1 01                    R 74f     3655532431 9 9 711   302.0  298.0
 22 3594.160500 9.950E-23 9.334E+00.06700.079  704.33380.75-.004728       1 0 0 11       0 0 0 01                    P 42e     3765632431 9 9 711   166.0  170.0
 24 3594.169995 3.783E-27 6.313E+00.06260.068 2096.40770.71-.005676       1 1 1 12       0 1 1 01                    R 61e     4755532432 9 9 711   750.0  738.0
 13 3594.179450 2.948E-24 1.751E+00.09380.511  136.53760.89-.004484          1 0 0          0 0 0  2  1  2        3  0  3      587777305910162545    90.0  126.0
 24 3594.182417 2.536E-30 5.462E+00.05050.062 3661.50190.59-.006026       1 0 0 11       0 0 0 01                    P 98e     3744432432 9 9 711  1170.0 1182.0
 12 3594.187707 1.238E-25 9.076E-02.06500.322  751.03290.62-.009580          0 2 0          0 0 0  7  5  2        6  4  3      558840807233162754    45.0   39.0
 22 3594.193120 6.190E-29 9.175E+00.06870.087 3583.99340.74-.004481       2 3 3 12       1 3 3 02                    P 32f     3666632431 9 9 711   126.0  130.0
 24 3594.193487 3.962E-28 2.177E-02.06320.069 1384.04450.72-.005233       0 2 2 11       0 0 0 01                    P 60e     4655532432 9 9 711   714.0  726.0
 21 3594.195171 7.111E-29 1.639E-02.06400.070 3298.91300.72-.003873       3 2 2 01       0 3 3 01                    P 57e     3655532429 9 9 711   113.0  115.0
 23 3594.199348 2.824E-30 9.024E+00.06630.076 3925.97090.74-.004829       3 1 1 13       2 1 1 03                    P 46f     3665632432 9 9 711    91.0   93.0
 23 3594.204184 1.620E-30 1.770E+01.07350.099 3982.36590.70-.004156       4 0 0 13       3 0 0 03                    P 18e     3666632432 9 9 711    35.0   37.0
 24 3594.204451 1.123E-30 7.580E-04.06830.085 1781.88900.74-.004574       0 4 4 11       0 2 2 01                    P 34f     3666632432 9 9 711   402.0  414.0
 24 3594.206928 1.123E-30 7.580E-04.06830.085 1781.88650.74-.004574       0 4 4 11       0 2 2 01                    P 34e     3666632432 9 9 711   402.0  414.0
 22 3594.207765 3.370E-26 1.482E-02.06490.072 1074.48170.73-.005391       0 2 2 11       0 0 0 01                    R 52e     3655532431 9 9 711   214.0  210.0
 22 3594.209817 1.640E-28 4.354E-03.06810.084 1833.65620.74-.004550       1 2 2 11       1 0 0 01                    R 34e     3666632431 9 9 711   142.0  138.0
 24 3594.209904 4.706E-30 2.322E-02.06530.073 2275.57130.74-.003818       3 1 1 01       1 0 0 02                    P 51e     3655532432 9 9 711   606.0  618.0
 23 3594.215063 8.159E-29 4.331E-03.06970.090 1558.24980.73-.003441       3 1 1 01       1 0 0 02                    P 28e     3666632432 9 9 711    55.0   57.0
 21 3594.217050 1.431E-21 5.100E+00.07300.098  801.17310.70-.003485       1 1 1 12       0 1 1 01                    R 18f     4766632429 9 9 711    39.0   37.0
 22 3594.217722 1.290E-28 1.869E+01.07910.108 3332.72810.68-.003932       3 1 1 12       2 1 1 02                    P 10f     3666632431 9 9 711    38.0   42.0
 11 3594.218234 5.347E-30 4.984E-02.08690.391 3719.49280.70-.008280          0 2 1          0 2 0  6  1  6        5  3  3      432230807294713152    13.0   11.0
 22 3594.228439 2.000E-30 1.483E+01.07200.096 4310.34350.71-.003634       2 1 1 22       1 1 1 12                    R 20e     3666632431 9 9 711    86.0   82.0
 21 3594.231406 5.506E-29 3.003E-02.06730.080 3402.47950.75-.003580       4 1 1 01       1 2 2 01                    P 40e     3666632429 9 9 711    79.0   81.0
 24 3594.235727 2.149E-29 3.404E-03.06590.075 1555.50820.74-.004929       0 3 3 11       0 1 1 01                    P 48e     3665632432 9 9 711   570.0  582.0
 24 3594.242431 6.250E-24 5.559E+00.08620.118    4.54330.69-.001829       1 0 0 12       0 0 0 01                    R  3e     3766632432 9 9 711    54.0   42.0
 21 3594.243079 5.649E-27 4.304E-02.06850.086 2489.96950.74-.003405       3 2 2 01       1 1 1 01                    R 32f     3666632429 9 9 711    67.0   65.0
 22 3594.253512 4.260E-29 3.230E+01.07020.092 3884.23020.73-.003976       2 0 0 21       1 0 0 11                    R 25e     3666632431 9 9 711   106.0  102.0
 21 3594.256185 6.492E-27 4.494E-02.06870.087 2464.01850.74-.003358       3 2 2 01       1 1 1 01                    R 31e     3666632429 9 9 711    65.0   63.0
 23 3594.266455 1.490E-30 1.015E+01.07090.094 3945.78650.72-.004293       4 0 0 14       3 0 0 04                    P 24e     3666632432 9 9 711    47.0   49.0
 21 3594.273791 1.210E-30 1.885E-02.06610.075 4125.69440.74-.003698       4 2 2 02       1 3 3 02                    P 47e     3665632429 9 9 711    93.0   95.0
 24 3594.278803 2.656E-30 1.210E+01.05610.064 3781.21110.65-.006289       2 0 0 13       1 0 0 02                    R 81e     4755532432 9 9 711   990.0  978.0
 23 3594.280321 3.361E-23 7.278E+00.06780.083  490.21120.74-.004611       1 0 0 12       0 0 0 01                    R 36e     3766632432 9 9 711    75.0   73.0
 24 3594.281348 5.624E-30 1.410E+01.06400.070 3580.47920.72-.005106       1 0 0 21       0 0 0 11                    P 57e     3655532432 9 9 711   678.0  690.0
 11 3594.282989 2.737E-26 5.673E+01.07770.371 3601.85890.62-.008010          0 2 1          0 2 0  5  1  5        6  1  6      464223307294713152    33.0   39.0
 14 3594.288900 2.349E-24 8.539E+00.07820.400  512.51580.99-.008800          0 0 1          0 0 0  7  1  7        8  0  8      563334304133162754    90.0  102.0
 22 3594.313241 9.270E-30 1.760E-01.07590.103 3001.64500.68-.003561       1 1 1 21       0 1 1 11                    Q 14e     3666632431 9 9 711    58.0   58.0
 21 3594.317549 6.265E-29 1.769E-02.06370.070 3344.32040.72-.003891       3 2 2 01       0 3 3 01                    P 58f     3655532429 9 9 711   115.0  117.0
